E_low_keV,E_high_keV,E_center_keV,pdf_kTe_40_keV,prob_per_bin_kTe_40_keV,expected_counts_kTe_40_keV,cdf_kTe_40_keV,pdf_kTe_100_keV,prob_per_bin_kTe_100_keV,expected_counts_kTe_100_keV,cdf_kTe_100_keV,pdf_kTe_160_keV,prob_per_bin_kTe_160_keV,expected_counts_kTe_160_keV,cdf_kTe_160_keV,pdf_kTe_300_keV,prob_per_bin_kTe_300_keV,expected_counts_kTe_300_keV,cdf_kTe_300_keV
10.0,14.99,12.495000000000001,0.05660231067745504,0.2824455302805007,282445.53028050065,0.2824455302805007,0.038958341708749844,0.19440212512666172,194402.1251266617,0.19440212512666172,0.03294223188458554,0.16438173710408185,164381.73710408184,0.16438173710408185,0.026963521717496483,0.13454797337030747,134547.97337030747,0.13454797337030747
14.99,19.98,17.485,0.03570479533368361,0.17816692871508125,178166.92871508125,0.4606124589955819,0.026484988682955513,0.13216009352794802,132160.09352794802,0.32656221865460977,0.022818079272393793,0.11386221556924503,113862.21556924503,0.2782439526733269,0.018950622213121278,0.09456360484347517,94563.60484347517,0.22911157821378264
19.98,24.97,22.475,0.024519648923365174,0.12235304812759218,122353.04812759218,0.5829655071231741,0.019601731376168163,0.0978126395670791,97812.6395670791,0.42437485822168886,0.017206813901647664,0.08586200136922181,85862.00136922182,0.36410595404254875,0.014499921306577575,0.07235460731982207,72354.60731982207,0.3014661855336047
24.97,29.96,27.465,0.017711531180048482,0.08838054058844196,88380.54058844196,0.671346047711616,0.015259603024819735,0.0761454190938505,76145.4190938505,0.5005202773155394,0.013648219533342621,0.0681046154713797,68104.6154713797,0.43221056951392844,0.011669761423415519,0.05823210950284346,58232.10950284346,0.3596982950364482
29.96,34.95,32.455,0.013230487941194184,0.06602013482655901,66020.134826559,0.737366182538175,0.012284852061886519,0.06130141178881376,61301.411788813755,0.5618216891043532,0.011195137456009172,0.055863735905485795,55863.735905485795,0.4880743054194142,0.009712615635683847,0.048465952022062414,48465.95202206241,0.4081642470585106
34.95,39.94,37.445,0.010122444475478942,0.05051099793263987,50510.99793263987,0.7878771804708149,0.010129462822872417,0.050546019486133305,50546.01948613331,0.6123677085904865,0.00940529993348482,0.046932446668089205,46932.44666808921,0.5350067520875034,0.008279425756691688,0.041314334525891484,41314.334525891485,0.4494785815844021
39.94,44.93,42.435,0.007884547883247061,0.03934389393740285,39343.89393740285,0.8272210744082178,0.00850324610067199,0.04243119804235325,42431.19804235325,0.6547989066328398,0.008044475233190958,0.0401419314136229,40141.9314136229,0.5751486835011262,0.007185319425981729,0.035854743935648845,35854.74393564885,0.485333325520051
44.93,49.92,47.425,0.006227524221145423,0.031075345863515673,31075.34586351567,0.8582964202717335,0.007238195698253524,0.0361185965342851,36118.5965342851,0.6909175031671249,0.00697702094513864,0.03481533451624182,34815.334516241826,0.6099640180173681,0.006323232950393627,0.031552932422464215,31552.932422464215,0.5168862579425152
49.92,54.910000000000004,52.415000000000006,0.00497380710240584,0.024819297441005153,24819.297441005154,0.8831157177127387,0.006230326058745055,0.03108932703313784,31089.32703313784,0.7220068302002627,0.006118954403922463,0.030533582475573105,30533.582475573105,0.6404976004929412,0.005626873688104175,0.028078099703639847,28078.099703639848,0.544964357646155
54.910000000000004,59.900000000000006,57.405,0.004008820128811052,0.020004012442767158,20004.012442767158,0.9031197301555058,0.005411845004473066,0.027005106572320612,27005.106572320612,0.7490119367725833,0.005415499582793714,0.027023342918140646,27023.342918140646,0.6675209434110819,0.005052999673818879,0.025214468372356216,25214.468372356216,0.5701788260185112
59.900000000000006,64.89,62.395,0.003255654170125777,0.01624571430892761,16245.71430892761,0.9193654444644335,0.004736679364791176,0.023636030030307946,23636.030030307946,0.7726479668028912,0.004829408028858633,0.024098746064004552,24098.746064004554,0.6916196894750865,0.0045722022975433615,0.022815289464741352,22815.289464741352,0.5929941154832525
64.89,69.88,67.38499999999999,0.0026610104847227967,0.013278442318766742,13278.442318766742,0.9326438867832002,0.00417243182372875,0.02082043480040644,20820.43480040644,0.7934684016032976,0.004334468957516424,0.021629000098006935,21629.000098006934,0.7132486895730934,0.004163784354785091,0.020777283930377585,20777.283930377584,0.6137713994136301
69.88,74.87,72.375,0.002186970903831555,0.010912984810119479,10912.984810119478,0.9435568715933197,0.003695665115212537,0.018441368924910592,18441.368924910592,0.8119097705282081,0.003911704086913346,0.01951940339369763,19519.40339369763,0.732768092966791,0.003812756938663254,0.019025657123929673,19025.65712392967,0.6327970565375598
74.87,79.86,77.36500000000001,0.0018059628625497445,0.009011754684123215,9011.754684123214,0.9525686262774429,0.003289011278207647,0.016412166278256143,16412.166278256143,0.8283219368064643,0.0035470350625059965,0.017699704961904903,17699.704961904903,0.7504677979286959,0.0035079985249517882,0.017504912639509405,17504.912639509406,0.6503019691770692
79.86,84.85000000000001,82.355,0.0014975631226185478,0.0074728399818665674,7472.8399818665675,0.9600414662593094,0.0029393318892665925,0.014667266127440324,14667.266127440324,0.8429892029339046,0.0032297988881501536,0.016116696451869295,16116.696451869295,0.7665844943805652,0.0032410833182450307,0.016173005758042733,16173.005758042733,0.6664749749351119
84.85000000000001,89.84,87.345,0.0012464039676231078,0.0062195557984393015,6219.555798439302,0.9662610220577487,0.002636508975362605,0.013156179787059385,13156.179787059385,0.856145382720964,0.0029517722386800268,0.01472934347101332,14729.343471013319,0.7813138378515785,0.003005511216093996,0.014997500968309025,14997.500968309025,0.6814724759034209
89.84,94.83,92.33500000000001,0.0010407640485150488,0.005193412602090088,5193.4126020900885,0.9714544346598387,0.0023726280207349002,0.01183941382346714,11839.413823467139,0.8679847965444311,0.0027065121458449506,0.01350549560776629,13505.49560776629,0.7948193334593447,0.0027961874604714955,0.013952975427752748,13952.975427752748,0.6954254513311736
94.83,99.82000000000001,97.325,0.0008715975209708439,0.004349271629644519,4349.271629644519,0.9758037062894832,0.00214141234300743,0.010685647591607094,10685.647591607094,0.8786704441360381,0.002488899510938893,0.012419608559585097,12419.608559585098,0.8072389420189299,0.0026090623636352717,0.01301922119454003,13019.221194540029,0.7084446725257136
99.82000000000001,104.81,102.315,0.0007318513082782983,0.003651938028308705,3651.9380283087053,0.9794556443177919,0.0019378230201698785,0.009669736870647684,9669.736870647685,0.8883401810066858,0.002294816199692381,0.01145113283646497,11451.132836464969,0.8186900748553948,0.0024408764595222655,0.012179973533016093,12179.973533016093,0.7206246460587298
104.81,109.80000000000001,107.305,0.0006159762486855155,0.003073721480940728,3073.721480940728,0.9825293657987326,0.0017577704765726508,0.008771274678097544,8771.274678097545,0.8971114556847833,0.0021209122355657743,0.010583352055473233,10583.352055473233,0.829273426910868,0.0022889767624791986,0.011421994044771221,11421.994044771222,0.732046640103501
109.80000000000001,114.79,112.29500000000002,0.0005195714385719012,0.002592661478473784,2592.661478473784,0.9851220272772064,0.0015979029942959431,0.007973535941536748,7973.535941536748,0.9050849916263201,0.0019644350657595324,0.009802530978140057,9802.530978140057,0.8390759578890081,0.0021511820149862984,0.010734398254781619,10734.39825478162,0.7427810383582826
114.79,119.78,117.285,0.00043912178188612887,0.002191217691611781,2191.217691611781,0.9873132449688182,0.0014554492385229051,0.007262691700229289,7262.691700229289,0.9123476833265494,0.001823102413290599,0.00909728104232008,9097.28104232008,0.8481732389313282,0.00202568233439574,0.010108154848634731,10108.154848634731,0.7528891932069173
119.78,124.77000000000001,122.275,0.0003718018480819042,0.0018552912219287052,1855.2912219287052,0.989168536190747,0.0013280993656492545,0.006627215834589792,6627.2158345897915,0.9189748991611392,0.0016950062639557737,0.008458081257139326,8458.081257139327,0.8566313201884675,0.0019109634320017264,0.009535707525688632,9535.707525688633,0.7624249007326059
124.77000000000001,129.76,127.265,0.0003153276085953669,0.0015734847668908746,1573.4847668908747,0.9907420209576379,0.0012139141233399584,0.006057431475466369,6057.431475466369,0.9250323306366055,0.0015785394426429877,0.007876911818788478,7876.911818788479,0.864508232007256,0.0018057486601556795,0.009010685814176805,9010.685814176804,0.7714355865467828
129.76,134.75,132.255,0.00026784321083874683,0.0013365376220853492,1336.5376220853493,0.9920785585797232,0.0011112545485317035,0.00554516019717321,5545.160197173211,0.9305774908337787,0.0014723388128481025,0.007346970676112045,7346.970676112045,0.871855202683368,0.0017089541788430792,0.00852768135242698,8527.68135242698,0.7799632678992098
134.75,139.74,137.245,0.00022783370583782242,0.001136890192130736,1136.890192130736,0.9932154487718539,0.001018727020096494,0.005083447830281514,5083.447830281514,0.9356609386640602,0.001375240868608432,0.006862451934356088,6862.451934356088,0.8787176546177241,0.0016196539027086947,0.0080820729745164,8082.072974516401,0.7880453408737261
