E_MeV,S_mass_MeV_cm2_g
0.01,151.894489776
0.0101393945768,152.90715751
0.0102807322383,153.926636312
0.0104240400702,154.952971743
0.0105693455356,155.986209642
0.0107166764803,157.026396128
0.0108660611385,158.0735776
0.0110175281379,159.127800734
0.011171106505,160.189112488
0.0113268256714,161.257560102
0.0114847154784,162.333191095
0.0116448061837,163.416053268
0.0118071284667,164.506194705
0.0119717134342,165.603663768
0.0121385926269,166.708509105
0.0123077980251,167.820779644
0.0124793620547,168.940524596
0.0126533175939,170.067793451
0.0128296979789,171.202635984
0.0130085370109,172.34510225
0.013189868962,173.495242585
0.0133737285821,174.653107605
0.0135601511057,175.818748207
0.0137491722581,176.992215567
0.0139408282628,178.173561141
0.0141351558484,179.362836661
0.014332192255,180.560094138
0.0145319752424,181.765385858
0.0147345430962,182.978764383
0.0149399346361,184.200282547
0.0151481892226,185.429993457
0.0153593467651,186.667950493
0.0155734477293,187.914207302
0.0157905331447,189.168817798
0.0160106446132,190.431836163
0.0162338243161,191.703316841
0.0164601150231,192.983314537
0.0166895600998,194.271884217
0.0169222035164,195.5690811
0.0171580898561,196.874960662
0.0173972643234,198.18957863
0.0176397727531,199.512990976
0.0178856616188,200.845253918
0.018134978042,202.186423917
0.0183877698008,203.536557668
0.0186440853397,204.895712104
0.0189039737782,206.263944383
0.0191674849206,207.641311892
0.0194346692654,209.027872236
0.019705578015,210.423683238
0.0199802630857,211.828802931
0.0202587771174,213.243289553
0.0205411734835,214.667201544
0.0208275063019,216.100597537
0.0211178304445,217.543536353
0.0214122015482,218.996076995
0.0217106760254,220.458278642
0.0220133110749,221.930200639
0.022320164693,223.411902493
0.022631295684,224.903443865
0.0229467636723,226.404884559
0.0232666291133,227.916284516
0.0235909533051,229.437703806
0.0239197984002,230.969202617
0.0242532274176,232.510841247
0.0245913042547,234.062680092
0.0249340936995,235.624779638
0.0252816614433,237.197200449
0.025634074093,238.780003158
0.0259913991838,240.373248451
0.0263537051927,241.97699706
0.0267210615508,243.591309747
0.0270935386573,245.216247293
0.0274712078927,246.851870483
0.0278541416324,248.498240094
0.0282424132608,250.155416878
0.0286360971851,251.823461552
0.0290352688498,253.502434774
0.029440004751,255.192397137
0.0298503824512,256.893409145
0.030266480594,258.605531199
0.0306883789192,260.32882358
0.0311161582782,262.063346428
0.0315499006496,263.809159727
0.0319896891543,265.566323282
0.0324356080724,267.334896702
0.0328877428583,269.114939376
0.0333461801579,270.906510456
0.0338110078248,272.709668832
0.0342823149373,274.524473112
0.0347601918154,276.350981595
0.035244730038,278.189252254
0.0357360224607,280.039342704
0.0362341632332,281.901310184
0.036739247818,283.775211527
0.037251373008,285.661103136
0.0377706369454,287.559040956
0.0382971391405,289.469080449
0.0388309804906,291.391276564
0.0393722632996,293.325683707
0.0399210912975,295.272355717
0.04047756966,297.231345831
0.041041805029,299.202706658
0.0416139055332,301.186490144
0.0421939808081,303.182747546
0.0427821420177,305.191529395
0.0433785018756,307.212885468
0.0439831746665,309.246864752
0.0445962762682,311.293515413
0.0452179241737,313.352884763
0.0458482375139,315.425019223
0.0464873370802,317.509964294
0.0471353453479,319.607764518
0.0477923864994,321.718463443
0.0484585864482,323.842103595
0.049134072863,325.978726433
0.0498189751921,328.128372323
0.0505134246882,330.291080496
0.0512175544336,332.466889018
0.0519314993659,334.655834752
0.0526553963033,336.857953323
0.0533893839715,339.073279085
0.0541336030297,341.301845086
0.0548881960979,343.543683032
0.0556533077843,345.798823255
0.0564290847126,348.067294681
0.0572156755506,350.349124793
0.0580132310383,352.644339603
0.058821904017,354.952963617
0.0596418494584,357.275019808
0.0604732244946,359.610529582
0.061316188448,361.959512751
0.0621709028616,364.321987506
0.0630375315307,366.697970388
0.0639162405334,369.087476261
0.0648071982631,371.49051829
0.0657105754604,373.907107916
0.0666265452458,376.337254832
0.0675552831533,378.780966965
0.0684969671636,381.238250454
0.0694517777382,383.709109632
0.0704198978545,386.193547011
0.0714015130401,388.691563263
0.0723968114091,391.203157211
0.0734059836976,393.72832581
0.0744292233004,396.267064145
0.0754667263084,398.819365411
0.0765186915457,401.385220916
0.0775853206079,403.964620064
0.0786668179007,406.557550359
0.0797633906793,409.163997395
0.0808752490877,411.783944855
0.0820026061993,414.417374511
0.0831456780577,417.064266223
0.0843046837179,419.724597936
0.0854798452884,422.398345687
0.0866713879739,425.085483604
0.0878795401182,427.785983905
0.0891045332482,430.499816909
0.0903466021181,433.226951029
0.0916059847544,435.967352781
0.0928829225017,438.720986783
0.0941776600687,441.487815758
0.0954904455752,444.267800533
0.0968215305997,447.060900041
0.0981711702275,449.867071313
0.0995396230998,452.68626948
0.100927151463,455.518447764
0.102334021219,458.36355747
0.103760501977,461.221547973
0.105206867102,464.092366704
0.106673393773,466.975959134
0.108160363031,469.872268749
0.109668059834,472.781237025
0.111196773112,475.702803398
0.112746795824,478.636905226
0.114318425013,481.58347775
0.11591196186,484.542454047
0.117527711746,487.513764977
0.11916598431,490.497339123
0.120827093504,493.493102729
0.12251135766,496.500979621
0.124219099545,499.520891137
0.125950646426,502.552756028
0.127706330131,505.596490375
0.129486487115,508.652007479
0.131291458521,511.719217749
0.13312159025,514.79802859
0.134977233023,517.888344268
0.13685874245,520.990065778
0.138766479098,524.103090697
0.14070080856,527.227313031
0.142662101526,530.362623051
0.144650733852,533.508907124
0.146667086634,536.666047532
0.148711546281,539.833922281
0.150784504586,543.012404906
0.152886358806,546.201364262
0.155017511734,549.400664312
0.157178371777,552.610163901
0.159369353038,555.829716529
0.16159087539,559.059170105
0.163843364558,562.298366707
0.166127252203,565.547142326
0.168442976004,568.8053266
0.170790979739,572.07274255
0.173171713372,575.349206306
0.175585633141,578.634526821
0.178033201643,581.928505588
0.180514887922,585.230936344
0.183031167562,588.541604777
0.185582522776,591.860288215
0.188169442497,595.186755327
0.190792422477,598.520765807
0.193451965374,601.86207006
0.196148580858,605.210408884
0.198882785699,608.565513146
0.201655103872,611.927103464
0.204466066658,615.294889874
0.20731621274,618.668571509
0.210206088313,622.047836264
0.213136247184,625.432360471
0.216107250881,628.821808567
0.219119668758,632.215832764
0.222174078106,635.614072718
0.225271064265,639.016155201
0.22841122073,642.421693774
0.231595149274,645.830288458
0.234823460055,649.241525411
0.238096771738,652.654976607
0.24141571161,656.070199516
0.244780915704,659.486736789
0.248193028919,662.904115944
0.251652705141,666.321849061
0.255160607373,669.739432479
0.25871740786,673.156346495
0.262323788216,676.572055075
0.265980439559,679.986005567
0.269688062639,683.397628421
0.273447367974,686.806336918
0.277259075986,690.211526904
0.281123917141,693.612576538
0.285042632085,697.008846039
0.289015971791,700.399677455
0.293044697697,703.784394431
0.297129581858,707.162301996
0.301271407088,710.532686358
0.305470967116,713.894814711
0.309729066733,717.247935058
0.31404652195,720.591276042
0.31842416015,723.924046802
0.322862820254,727.245436834
0.327363352872,730.554615874
0.331926620473,733.850733801
0.336553497551,737.132920548
0.341244870785,740.400286046
0.346001639219,743.65192018
0.350824714424,746.886892765
0.355715020682,750.104253553
0.360673495157,753.303032254
0.365701088078,756.482238589
0.370798762917,759.640862364
0.375967496579,762.777873575
0.381208279584,765.892222538
0.386522116263,768.982840052
0.391910024943,772.048637587
0.397373038149,775.088507513
0.402912202795,778.101323351
0.408528580393,781.085940068
0.414223247248,784.041194403
0.419997294672,786.965905231
0.425851829184,789.858873967
0.431787972733,792.718885003
0.437806862904,795.544706196
0.443909653139,798.335089388
0.450097512961,801.088770976
0.456371628192,803.804472522
0.462733201188,806.480901411
0.469183451061,809.116751551
0.475723613919,811.710704128
0.4823549431,814.2614284
0.489078709414,816.767582548
0.495896201384,819.227814571
0.502808725494,821.640763237
0.509817606442,824.005059077
0.516924187389,826.319325444
0.524129830221,828.582179608
0.531435915805,830.792233917
0.538843844261,832.948096999
0.546355035221,835.048375032
0.553970928111,837.091673047
0.561692982416,839.076596298
0.569522677971,841.001751681
0.577461515236,842.865749196
0.585511015587,844.667203472
0.593672721607,846.404735331
0.601948197383,848.076973406
0.610339028803,849.682555804
0.618846823862,851.220131813
0.627473212971,852.68836366
0.636219849266,854.085928299
0.645088408927,855.41151925
0.6540805915,856.663848466
0.663198120221,857.841648242
0.672442742348,858.943673151
0.681816229494,859.968702008
0.691320377968,860.915539864
0.700957009117,861.783020018
0.710727969677,862.570006044
0.720635132129,863.275393838
0.730680395053,863.898113672
0.740865683494,864.437132247
0.751192949332,864.891454757
0.761664171655,865.260126938
0.772281357139,865.542237112
0.78304654043,865.736918215
0.793961784538,865.843349803
0.80502918123,865.86076003
0.816250851429,865.788427598
0.827628945625,865.625683659
0.839165644283,865.371913684
0.850863158264,865.026559274
0.862723729246,864.589119908
0.874749630155,864.059154641
0.886943165601,863.43628372
0.899306672319,862.720190127
0.911842519615,861.910621039
0.924553109823,861.007389202
0.937440878766,860.010374199
0.950508296219,858.91952363
0.963757866384,857.734854173
0.977192128372,856.456452538
0.990813656686,855.084476298
1.00462506172,853.619154599
1.01862899024,852.060788736
1.03282812594,850.409752604
1.04722518989,848.666493
1.0618229411,846.831529791
1.07662417705,844.90545593
1.09163173419,842.888937331
1.10684848855,840.78271259
1.12227735621,838.587592546
1.13792129392,836.3044597
1.15378329963,833.934267472
1.1698664131,831.478039299
1.18617371645,828.936867588
1.20270833477,826.311912506
1.2194734367,823.604400619
1.23647223505,820.815623386
1.25370798744,817.946935497
1.27118399687,814.999753074
1.28890361239,811.975551729
1.30687022974,808.875864486
1.325087292,805.702279571
1.34355829022,802.456438086
1.36228676414,799.140031554
1.38127630283,795.754799359
1.40053054539,792.302526083
1.42005318165,788.785038747
1.43984795288,785.204203959
1.45991865247,781.56192499
1.48026912674,777.860138777
1.50090327558,774.100812867
1.52182505326,770.285942307
1.54303846918,766.417546495
1.56454758862,762.497665999
1.58635653351,758.528359353
1.60846948327,754.511699846
1.63089067555,750.449772301
1.65362440709,746.344669873
1.67667503453,742.198490853
1.70004697521,738.013335509
1.72374470806,733.79130296
1.74777277446,729.534488097
1.77213577908,725.244978556
1.79683839077,720.924851759
1.82188534347,716.576172025
1.8472814371,712.200987754
1.87303153851,707.801328709
1.89914058236,703.379203378
1.92561357213,698.936596447
1.95245558102,694.475466366
1.97967175295,689.997743036
2.00726730356,685.505325607
2.03524752118,681.000080385
2.06361776786,676.483838881
2.0923834804,671.958395964
2.12155017136,667.425508156
2.15112343018,662.88689205
2.18110892419,658.344222858
2.21151239973,653.799133092
2.24233968322,649.253211376
2.27359668233,644.708001387
2.30528938705,640.165000925
2.33742387089,635.625661117
2.37000629201,631.091385745
2.40304289441,626.56353069
2.43654000913,622.043403517
2.47050405546,617.532263157
2.50494154217,613.031319723
2.53985906878,608.541734428
2.57526332677,604.064619613
2.61116110092,599.601038882
2.64755927057,595.152007333
2.68446481096,590.71849189
2.72188479458,586.301411717
2.75982639247,581.901638727
2.79829687566,577.519998165
2.83730361652,573.157269271
2.87685409019,568.814186012
2.91695587602,564.491437881
2.95761665899,560.189670756
2.99884423123,555.909487815
3.04064649347,551.651450501
3.08303145657,547.416079535
3.12600724307,543.203855966
3.16958208873,539.015222265
3.2137643441,534.850583439
3.25856247615,530.710308181
3.30398506987,526.594730041
3.35004082991,522.504148615
3.39673858227,518.438830743
3.44408727597,514.399011729
3.49209598479,510.384896554
3.54077390897,506.396661105
3.59013037701,502.434453392
3.64017484745,498.498394772
3.69091691066,494.588581157
3.74236629072,490.705084222
3.79453284724,486.84795259
3.84742657726,483.017213014
3.90105761719,479.212871535
3.95543624473,475.434914619
4.01057288086,471.683310285
4.06647809178,467.958009195
4.12316259103,464.25894573
4.18063724146,460.58603904
4.23891305734,456.939194061
4.29800120649,453.31830251
4.3579130124,449.72324385
4.41865995639,446.153886224
4.48025367983,442.610087356
4.54270598637,439.091695431
4.6060288442,435.59854993
4.67023438833,432.130482445
4.73533492292,428.687317457
4.80134292365,425.268873081
4.86827104012,421.874961784
4.93613209824,418.505391067
5.0049391027,415.159964116
5.07470523949,411.838480425
5.14544387839,408.540736385
5.21716857555,405.266525844
5.2898930761,402.015640635
5.36363131674,398.787871079
5.43839742846,395.583006453
5.51420573924,392.400835438
5.59107077676,389.241146528
5.66900727121,386.103728428
5.74803015813,382.988370407
5.82815458123,379.894862643
5.90939589534,376.822996532
5.99176966931,373.77256498
6.07529168902,370.743362666
6.15997796038,367.73518629
6.24584471244,364.747834793
6.33290840046,361.781109563
6.42118570906,358.834814613
6.51069355548,355.908756751
6.60144909273,353.00274572
6.69346971296,350.116594335
6.78677305072,347.250118588
6.88137698642,344.40313775
6.97729964967,341.575474454
7.07455942282,338.766954762
7.17317494447,335.977408219
7.273165113,333.206667901
7.37454909026,330.454570443
7.47734630518,327.72095606
7.58157645752,325.005668557
7.68725952166,322.308555332
7.7944157504,319.629467363
7.90306567886,316.968259197
8.0132301284,314.338355138
8.12493021061,311.733916352
8.2381873314,309.142114798
8.35302319503,306.567013494
8.46945980831,304.004949545
8.58751948485,301.454485008
8.70722484924,298.915950452
8.8285988415,296.38965583
8.95166472138,293.878798639
9.07644607289,291.381166762
9.20296680876,288.91259833
9.33125117508,286.457353813
9.46132375589,284.016680107
9.59320947794,281.590856444
9.72693361543,279.180779118
9.86252179487,276.786432863
10,274.33817556
