E_MeV,electron_dLdE_ph_per_MeV,electron_L_ph,alpha_dLdE_ph_per_MeV,alpha_L_ph,o16_dLdE_ph_per_MeV,o16_L_ph,alpha_over_electron_L,o16_over_electron_L
0,42393.2061645,0,23146.8181433,0,19767.5232865,0,0,0
0.01,42393.2061645,423.932061645,23146.8181433,231.468181433,19767.5232865,197.675232865,0.546003009384,0.466289886398
0.0101393945768,42426.5772434,429.843770549,23070.4048333,234.68939655,19689.1900669,200.425258794,0.545987664891,0.466274661926
0.0102807322383,42459.6653487,435.842582062,22993.9855089,237.944713156,19610.9376014,203.202552866,0.545941867429,0.46622923328
0.0104240400702,42492.4724039,441.929735401,22917.5619051,241.234455316,19532.7676365,206.007352631,0.545866086827,0.466154087695
0.0105693455356,42525.0003285,448.106487121,22841.1357589,244.558949745,19454.6819113,208.839897381,0.545760788505,0.466049707789
0.0107166764803,42557.2510377,454.374111358,22764.7088091,247.918525828,19376.6821567,211.700428158,0.545626433441,0.465916571534
0.0108660611385,42589.2264417,460.733900077,22688.2827967,251.313515636,19298.770096,214.589187766,0.545463478148,0.465755152226
0.0110175281379,42620.9284464,467.187163314,22611.8594642,254.744253945,19220.9474444,217.506420782,0.545272374648,0.465565918462
0.011171106505,42652.3589527,473.735229434,22535.4405559,258.211078255,19143.2159087,220.452373564,0.545053570458,0.465349334115
0.0113268256714,42683.5198563,480.379445387,22459.0278174,261.714328807,19065.5771875,223.427294268,0.544807508564,0.465105858324
0.0114847154784,42714.4130479,487.121176961,22382.6229959,265.254348604,18988.0329709,226.43143285,0.544534627418,0.464835945468
0.0116448061837,42745.0404126,493.961809051,22306.22784,268.831483429,18910.5849403,229.465041086,0.544235360919,0.464540045165
0.0118071284667,42775.4038301,500.902745925,22229.8440993,272.446081864,18833.2347685,232.528372577,0.543910138406,0.464218602252
0.0119717134342,42805.5051746,507.94541149,22153.4735245,276.098495309,18755.9841192,235.621682762,0.543559384658,0.463872056785
0.0121385926269,42835.3463142,515.09124957,22077.1178674,279.789078001,18678.8346471,238.74522893,0.543183519882,0.463500844034
0.0123077980251,42864.9291112,522.341724183,22000.7788806,283.518187036,18601.7879979,241.899270229,0.542782959718,0.463105394476
0.0124793620547,42894.4261764,529.698334469,21924.4583174,287.286182385,18524.8458077,245.08406768,0.542358100243,0.462686121009
0.0126533175939,42923.6889751,537.162602715,21848.157932,291.093426915,18448.0097035,248.299884188,0.541909331446,0.462243430449
0.0128296979789,42952.6956286,544.736057607,21771.8794788,294.940286412,18371.2813025,251.546984551,0.541437054319,0.461777738114
0.0130085370109,42981.4480112,552.420247137,21695.624713,298.827129598,18294.6622123,254.825635473,0.540941667411,0.461289456339
0.013189868962,43009.9479902,560.216740944,21619.3953899,302.754328151,18218.1540308,258.136105577,0.54042356471,0.460778992684
0.0133737285821,43038.197426,568.127130609,21543.1932652,306.722256728,18141.7583458,261.478665416,0.539883135663,0.460246749941
0.0135601511057,43066.198172,576.153029966,21467.0200948,310.731292984,18065.4767352,264.853587483,0.539320765184,0.459693126145
0.0137491722581,43093.9520747,584.296075412,21390.8776345,314.781817594,17989.3107666,268.261146225,0.538736833671,0.459118514591
0.0139408282628,43121.4609731,592.557926219,21314.7676402,318.874214271,17913.2619973,271.701618053,0.538131717022,0.458523303851
0.0141351558484,43148.7266993,600.940264855,21238.6918677,323.008869792,17837.3319746,275.175281357,0.537505786652,0.457907877787
0.014332192255,43175.7510775,609.44479731,21162.6520724,327.186174016,17761.5222347,278.682416515,0.536859409515,0.457272615575
0.0145319752424,43202.5359247,618.073253419,21086.6500096,331.406519907,17685.8343037,282.223305906,0.536192948124,0.456617891721
0.0147345430962,43229.0830502,626.827387199,21010.6874341,335.670303556,17610.2696965,285.798233924,0.535506760572,0.455944076089
0.0149399346361,43255.3942557,635.708977182,20934.7661003,339.977924202,17534.8299177,289.407486988,0.534801200557,0.455251533918
0.0151481892226,43281.4713349,644.719826764,20858.887762,344.329784254,17459.5164606,293.051353556,0.534076617409,0.454540625851
0.0153593467651,43307.3520755,653.861768345,20783.0541723,348.726289317,17384.3308074,296.730124136,0.533333353011,0.45381170532
0.0155734477293,43333.013028,663.136661196,20707.2670837,353.167848209,17309.2744296,300.444091302,0.532571744068,0.453065120483
0.0157905331447,43358.4443479,672.546386718,20631.5282479,357.654872989,17234.348787,304.193549701,0.531792126242,0.452301217743
0.0160106446132,43383.6478067,682.092851358,20555.8394155,362.187778978,17159.5553283,307.978796071,0.530994831945,0.451520339875
0.0162338243161,43408.6251677,691.777988208,20480.2023364,366.766984782,17084.8954907,311.800129252,0.530180189358,0.450722825194
0.0164601150231,43433.3781859,701.603757374,20404.6187595,371.392912316,17010.3707,315.657850197,0.529348522457,0.449909007583
0.0166895600998,43457.9086078,711.572146355,20329.0904324,376.065986831,16935.9823702,319.552261989,0.528500151049,0.449079216528
0.0169222035164,43482.2181716,721.685170424,20253.6191017,380.786636932,16861.7319038,323.48366985,0.527635390802,0.448233777147
0.0171580898561,43506.3086068,731.944873012,20178.2065127,385.555294608,16787.6206913,327.452381158,0.526754553279,0.447373010226
0.0173972643234,43530.1816344,742.353326108,20102.8544095,390.372395253,16713.6501115,331.458705458,0.525857945972,0.446497232249
0.0176397727531,43553.8389668,752.912630652,20027.5645349,395.238377694,16639.8215313,335.502954475,0.52494587234,0.44560675544
