E_MeV,S_mass_MeV_cm2_g
0.01,204.161421223
0.0101393945768,205.585750305
0.0102807322383,207.019972026
0.0104240400702,208.464155098
0.0105693455356,209.918368709
0.0107166764803,211.382682529
0.0108660611385,212.857166713
0.0110175281379,214.341891899
0.011171106505,215.83692922
0.0113268256714,217.342350301
0.0114847154784,218.858227265
0.0116448061837,220.384632735
0.0118071284667,221.92163984
0.0119717134342,223.469322215
0.0121385926269,225.027754009
0.0123077980251,226.597009883
0.0124793620547,228.177165019
0.0126533175939,229.76829512
0.0128296979789,231.370476415
0.0130085370109,232.983785663
0.013189868962,234.608300154
0.0133737285821,236.244097717
0.0135601511057,237.891256722
0.0137491722581,239.549856082
0.0139408282628,241.219975258
0.0141351558484,242.901694263
0.014332192255,244.595093666
0.0145319752424,246.300254597
0.0147345430962,248.017258746
0.0149399346361,249.746188374
0.0151481892226,251.487126311
0.0153593467651,253.240155964
0.0155734477293,255.005361317
0.0157905331447,256.78282694
0.0160106446132,258.572637989
0.0162338243161,260.374880211
0.0164601150231,262.189639949
0.0166895600998,264.017004147
0.0169222035164,265.85706035
0.0171580898561,267.709896714
0.0173972643234,269.575602006
0.0176397727531,271.454265608
0.0178856616188,273.345977527
0.018134978042,275.25082839
0.0183877698008,277.168909458
0.0186440853397,279.100312622
0.0189039737782,281.045130414
0.0191674849206,283.003456008
0.0194346692654,284.975383225
0.019705578015,286.961006536
0.0199802630857,288.960421071
0.0202587771174,290.97372262
0.0205411734835,293.001007636
0.0208275063019,295.042373244
0.0211178304445,297.097917244
0.0214122015482,299.167738115
0.0217106760254,301.251935018
0.0220133110749,303.350607804
0.022320164693,305.463857019
0.022631295684,307.591783906
0.0229467636723,309.734490411
0.0232666291133,311.892079188
0.0235909533051,314.064653604
0.0239197984002,316.252317745
0.0242532274176,318.455176419
0.0245913042547,320.673335162
0.0249340936995,322.906900244
0.0252816614433,325.155978671
0.025634074093,327.420678194
0.0259913991838,329.701107311
0.0263537051927,331.997375276
0.0267210615508,334.309592099
0.0270935386573,336.637868557
0.0274712078927,338.982316192
0.0278541416324,341.343047326
0.0282424132608,343.720175058
0.0286360971851,346.113813272
0.0290352688498,348.524076646
0.029440004751,350.95108065
0.0298503824512,353.394941562
0.030266480594,355.855776461
0.0306883789192,358.333703245
0.0311161582782,360.828840627
0.0315499006496,363.341308146
0.0319896891543,365.871226171
0.0324356080724,368.418715907
0.0328877428583,370.983899402
0.0333461801579,373.56689955
0.0338110078248,376.167840099
0.0342823149373,378.786845656
0.0347601918154,381.424041696
0.035244730038,384.079554563
0.0357360224607,386.753511479
0.0362341632332,389.446040549
0.036739247818,392.15727077
0.037251373008,394.887332033
0.0377706369454,397.636355132
0.0382971391405,400.404471768
0.0388309804906,403.19181456
0.0393722632996,405.998517044
0.0399210912975,408.824713687
0.04047756966,411.670539887
0.041041805029,414.536131986
0.0416139055332,417.421627269
0.0421939808081,420.327163977
0.0427821420177,423.25288131
0.0433785018756,426.198919437
0.0439831746665,429.165419497
0.0445962762682,432.152523612
0.0452179241737,435.16037489
0.0458482375139,438.189117434
0.0464873370802,441.238896347
0.0471353453479,444.30985774
0.0477923864994,447.402148738
0.0484585864482,450.51591749
0.049134072863,453.651313171
0.0498189751921,456.808485996
0.0505134246882,459.987587219
0.0512175544336,463.188769148
0.0519314993659,466.412185146
0.0526553963033,469.657989645
0.0533893839715,472.926338146
0.0541336030297,476.217387231
0.0548881960979,479.531294571
0.0556533077843,482.86821893
0.0564290847126,486.228320176
0.0572156755506,489.611759288
0.0580132310383,493.018698362
0.058821904017,496.449300619
0.0596418494584,499.903730416
0.0604732244946,503.382153249
0.061316188448,506.884735766
0.0621709028616,510.411645771
0.0630375315307,513.963052233
0.0639162405334,517.539125297
0.0648071982631,521.140036286
0.0657105754604,524.765957716
0.0666265452458,528.4170633
0.0675552831533,532.093527958
0.0684969671636,535.795527825
0.0694517777382,539.523240259
0.0704198978545,543.276843849
0.0714015130401,547.056518427
0.0723968114091,550.862445071
0.0734059836976,554.694806118
0.0744292233004,558.553785172
0.0754667263084,562.439567112
0.0765186915457,566.3523381
0.0775853206079,570.292285593
0.0786668179007,574.259598348
0.0797633906793,578.254466434
0.0808752490877,582.27708124
0.0820026061993,586.327635484
0.0831456780577,590.406323223
0.0843046837179,594.513339863
0.0854798452884,598.648882164
0.0866713879739,602.813148256
0.0878795401182,607.006337642
0.0891045332482,611.228651214
0.0903466021181,615.480291257
0.0916059847544,619.761461462
0.0928829225017,624.072366933
0.0941776600687,628.413214201
0.0954904455752,632.784211231
0.0968215305997,637.185567431
0.0981711702275,641.617493664
0.0995396230998,646.080202258
0.100927151463,650.573907017
0.102334021219,655.098823227
0.103760501977,659.655167672
0.105206867102,664.243158641
0.106673393773,668.863015937
0.108160363031,673.514960892
0.109668059834,678.199216376
0.111196773112,682.916006805
0.112746795824,687.665558153
0.114318425013,692.448097967
0.11591196186,697.263855371
0.117527711746,702.113061083
0.11916598431,706.99594742
0.120827093504,711.912748318
0.12251135766,716.863699332
0.124219099545,721.849037656
0.125950646426,726.869002132
0.127706330131,731.92383326
0.129486487115,737.013773211
0.131291458521,742.139065836
0.13312159025,747.299956682
0.134977233023,752.496693001
0.13685874245,757.729523761
0.138766479098,762.998699661
0.14070080856,768.30447314
0.142662101526,773.647098392
0.144650733852,779.026831373
0.146667086634,784.443929822
0.148711546281,789.898653263
0.150784504586,795.391263025
0.152886358806,800.922022253
0.155017511734,806.491195918
0.157178371777,812.099050832
0.159369353038,817.745855659
0.16159087539,823.432482499
0.163843364558,829.158797676
0.166127252203,834.924883415
0.168442976004,840.731016013
0.170790979739,846.577473688
0.173171713372,852.46453659
0.175585633141,858.392486819
0.178033201643,864.361608433
0.180514887922,870.372187467
0.183031167562,876.424511942
0.185582522776,882.518871882
0.188169442497,888.655559328
0.190792422477,894.83486835
0.193451965374,901.057095061
0.196148580858,907.322537634
0.198882785699,913.631496315
0.201655103872,919.984273435
0.204466066658,926.381173429
0.20731621274,932.822502847
0.210206088313,939.308570369
0.213136247184,945.839686824
0.216107250881,952.416165199
0.219119668758,959.038320658
0.222174078106,965.706470554
0.225271064265,972.42093445
0.22841122073,979.182034126
0.231595149274,985.990093603
0.234823460055,992.845439152
0.238096771738,999.748399313
0.24141571161,1006.69930491
0.244780915704,1013.69848907
0.248193028919,1020.74628723
0.251652705141,1027.84303716
0.255160607373,1034.98907898
0.25871740786,1042.18365196
0.262323788216,1049.4259968
0.265980439559,1056.71861503
0.269688062639,1064.06185534
0.273447367974,1071.45606887
0.277259075986,1078.90160916
0.281123917141,1086.39883221
0.285042632085,1093.94809648
0.289015971791,1101.5497629
0.293044697697,1109.20419492
0.297129581858,1116.91175847
0.301271407088,1124.67282206
0.305470967116,1132.48775671
0.309729066733,1140.35693602
0.31404652195,1148.28123039
0.31842416015,1156.26121948
0.322862820254,1164.2966295
0.327363352872,1172.38784569
0.331926620473,1180.53525602
0.336553497551,1188.73925112
0.341244870785,1197.00022438
0.346001639219,1205.3185719
0.350824714424,1213.69469255
0.355715020682,1222.12898799
0.360673495157,1230.62186267
0.365701088078,1239.17372385
0.370798762917,1247.78498164
0.375967496579,1256.456049
0.381208279584,1265.18734177
0.386522116263,1273.9792787
0.391910024943,1282.83228143
0.397373038149,1291.74677456
0.402912202795,1299.765831
0.408528580393,1307.88140715
0.414223247248,1316.11014
0.419997294672,1324.45360757
0.425851829184,1332.91340989
0.431787972733,1341.49116934
0.437806862904,1350.18853091
0.443909653139,1359.00716256
0.450097512961,1367.94875553
0.456371628192,1377.01502463
0.462733201188,1386.20770862
0.469183451061,1395.52857053
0.475723613919,1404.97939799
0.4823549431,1414.56200354
0.489078709414,1424.27822507
0.495896201384,1434.12992607
0.502808725494,1444.95749933
0.509817606442,1457.44120911
0.516924187389,1470.09898892
0.524129830221,1482.93326654
0.531435915805,1495.94650363
0.538843844261,1509.14119623
0.546355035221,1522.51987519
0.553970928111,1536.08510668
0.561692982416,1549.8394927
0.569522677971,1563.78567154
0.577461515236,1577.92631834
0.585511015587,1592.26414554
0.593672721607,1606.80190346
0.601948197383,1621.5423808
0.610339028803,1636.48840517
0.618846823862,1651.64284365
